pgc,name
64824,UGC11583
65001,NGC6946
65367,DDO210
65603,IC5052
67045,NGC7090
67908,IC5152
68618,IC5201
68672,ESO238-005
69468,KK258
69519,Tucana
71220,NGC7640
71368,UGC12588
71431,UGCA438
71464,ESO347-G017
71538,Pegasus
71596,UGC12632
71775,IC5332
72228,UGCA442
72675,ESO149-003
73049,NGC7793
83321,NGC3384-DF3
83329,NGC3384-DF9
83333,NGC3384-DF11
83339,NGC3384-DF8
86635,AGC223254
86644,IC3840
86668,D564-08
86669,D565-06
86806,KUG-0243+275
87149,KK177
95594,KKH34
95597,KKH37
100169,Cas1
101304,Dwingeloo2
138451,KK13
154449,2MJ0957088-0915
166062,KK14
166063,AGC111946
166064,KK16
166065,KK17
166068,MB1
166073,KK27
166077,KK35
166082,CamA
166084,CamB
166095,KK69
166096,KK70
166101,KK77
166107,NGC3384-DF4
166115,KK109
166127,NGC4258-DF6
166130,KK135
166135,AGC223231
166137,KK144
166142,LEDA166142
166146,KK166
166152,Cen6
166158,KK189
166159,KK191
166163,KK195
166167,KK203
166170,KK208
166172,KK213
166175,KK217
166176,KK218
166179,KK221
166185,KK230
169968,AGC123352
385975,PGC385975
490287,ESO215-09
592761,HIPASSJ1337-39
626659,LVJ2335-3713
677373,DEEPJ1337-33
683190,HIP1133-32
704814,2DFGRS-S431Z149
807172,6DF-J0944201-225458
1099440,2DFGRS-TGN218Z179
1488625,EVCC67
1599237,AGC739005
1726175,AGC238890
1798058,AGC731448
1824266,AGC731457
2277751,SDSSJ103512.07+461412.2
2543081,LVJ1157+5638
2576103,MSB17J1343+58
2801016,KKR08
2801026,KKR25
2806961,D634-03
2807061,HIZSS-003
2807065,HIZSS-021
2807102,KKH5
2807103,KKH6
2807110,KKH18
2807114,KKH22
2807128,KKH46
2807133,KKH57
2807141,KKH68
2807142,KKH69
2807150,KKH86
2807155,CasdSph
2807157,KKH98
2815820,KKS53
2815822,KKs55
2815823,KKs57
2832100,BTS076
2832120,BTS-151
3097113,HIPASSJ1351-47
3097691,Cetus
3097700,KKSG19
3097708,KKSG30
3097727,ScdE1
3097827,F8D1
3097828,FM1
3994669,HIPASSJ1247-77
4015941,WSRT-CVN43
4074723,SDSS-J124029.91+472203.9
4078612,HIPASSJ0517-32
4078671,6DF0956
4087020,AGC182595
4091250,AGC205590
4194405,AGC198507
4231240,AGC200232
4310323,SDSSJ120531.04+310434.1
4319966,LVJ1217+3231
4320422,LVJ1218+4655
4343356,AGC742601
4560762,AGC747826
4562575,AGC731921
4571720,AGC198508
4608690,ANDROMEDA-17
4614882,HIPASSJ1348-37
4689184,KK242
4689187,CenN
4689195,IKN
4689210,NGC3384-DF6
4689216,HS117
4689222,ANDROMEDA-9
5056918,ANDROMEDA-18
5056920,ANDROMEDA-20
5056921,ANDROMEDA-10
5056922,ANDROMEDA-14
5056931,d0934+70
5056932,d0939+71
5056933,d0944+69
5056934,d0955+70
5056936,d0959+68
5056937,d1006+67
5056938,d1014+68
5056941,d1028+70
5056942,d1041+70
5056943,d0926+70
5056944,d0944+71
5056947,d1015+69
5056993,LVJ1243+4127
5057032,DDO169NW
5057055,AGC112521
5057226,ANDROMEDA-23
5057227,ANDROMEDA-24
5057228,ANDROMEDA-25
5057229,ANDROMEDA-26
5057231,ANDROMEDA-21
5057232,ANDROMEDA-22
5057515,AGC102728
5057800,NGC3384-DF7
5059187,AGC229053
5059213,AGC749241
5059815,AGC748778
5060050,AGC174585
5060076,AGC174605
5060430,ANDROMEDA-29
5060431,ALFAZOAJ1952+1428
5060432,HIPASSJ1131-31
5065056,ANDROMEDA-30
5065677,ANDROMEDA-31
5065678,ANDROMEDA-32
5067061,ANDROMEDA-33
5067080,AGC322463
5067392,M101-DwA
5072213,CENA-DW1
5072214,CENA-DW2
5072710,PiscesA
5072711,PiscesB
5072714,GALFA-DW3
5072715,GALFA-DW4
5098252,AntliaB
5509262,NGC5128-S1
5509263,CENA-DW4
5509264,CENA-DW5
5509265,CENA-DW6
5509266,CENA-DW7
5807231,AGC198691
5808772,AGC740112
5808780,AGC229379
5809449,ComaP
6726347,LBTJ115205.6+544732.2
6740710,WOC2017-7
9000000,CenA-MM-UCD1
