extension,x,y,type,mag_v,err_v,snr_v,sharp_v,round_v,crowd_v,flag_v,mag_i,err_i,snr_i,sharp_i,round_i,crowd_i,flag_i
1,1281.63,1775.99,1,24.168,0.012,87.4,-0.015,0.039,0.003,0,22.585,0.011,103.2,-0.009,-0.008,0.006,0
1,660.07,1629.9,1,24.118,0.013,86.4,0.029,0.017,0.001,0,22.615,0.011,100.1,0.018,0.043,0.001,0
1,1676.38,1138.32,1,24.107,0.012,89.8,0.017,0.043,0.001,0,22.652,0.011,101.1,-0.02,0.009,0.0,0
1,2261.81,1912.22,1,24.266,0.013,83.9,0.006,-0.022,0.0,0,22.553,0.01,105.6,-0.006,0.042,0.0,0
1,1657.48,1851.25,1,24.112,0.012,88.8,-0.006,0.059,0.003,0,22.638,0.011,100.5,-0.003,0.017,0.002,0
1,2770.2,1388.77,1,24.071,0.012,88.7,0.034,0.02,0.004,0,22.692,0.011,97.8,0.034,0.023,0.001,0
1,2804.77,337.68,1,23.649,0.011,102.2,0.007,0.026,0.0,0,23.046,0.013,81.8,0.017,0.029,0.0,0
1,3971.33,749.3,1,25.343,0.021,50.9,0.031,0.116,0.0,0,22.393,0.009,116.2,0.015,0.025,0.0,0
1,2317.79,1089.83,1,24.151,0.012,88.3,0.013,0.055,0.0,0,22.694,0.011,99.2,0.016,0.007,0.0,0
1,3108.01,1168.74,1,23.766,0.012,91.5,-0.081,0.017,0.226,0,23.044,0.015,74.0,-0.122,0.029,0.314,0
1,2654.21,1176.45,1,24.161,0.012,87.4,0.017,0.027,0.001,0,22.7,0.011,98.1,0.011,-0.016,0.0,0
1,1837.21,1869.23,1,24.105,0.012,87.7,-0.001,0.063,0.002,0,22.7,0.011,96.5,-0.01,0.038,0.004,0
1,1529.66,1376.32,1,24.167,0.013,84.4,0.016,0.087,0.002,0,22.701,0.011,95.9,0.007,0.022,0.001,0
1,1510.22,1691.0,1,24.209,0.014,76.1,0.034,0.005,0.101,0,22.716,0.011,94.6,0.026,0.017,0.062,0
1,1845.32,1972.07,1,24.127,0.013,82.7,-0.012,0.046,0.011,0,22.725,0.012,91.8,-0.013,-0.013,0.006,0
1,2390.85,933.23,1,24.143,0.012,87.4,0.018,0.075,0.001,0,22.779,0.011,94.5,0.013,-0.013,0.001,0
1,76.15,951.75,1,24.134,0.013,83.9,-0.007,0.13,0.0,0,22.785,0.012,90.4,-0.003,0.116,0.0,0
1,3491.66,804.56,1,24.17,0.012,87.4,-0.002,0.036,0.0,0,22.773,0.011,95.7,0.01,0.027,0.0,0
1,1805.52,1859.75,1,24.163,0.013,85.3,-0.02,0.049,0.0,0,22.738,0.011,94.4,-0.018,0.07,0.0,0
1,1691.28,1241.28,1,24.205,0.013,84.6,0.028,0.045,0.002,0,22.758,0.011,95.4,0.021,-0.02,0.0,0
1,1166.45,1818.36,1,24.146,0.013,85.7,0.007,0.021,0.0,0,22.774,0.012,92.8,0.016,0.024,0.001,0
1,3669.7,1183.97,1,27.305,0.082,13.2,0.043,0.211,0.003,0,22.583,0.01,104.1,-0.014,0.027,0.003,0
1,1721.58,1482.36,1,24.065,0.013,86.7,-0.01,0.056,0.061,0,22.867,0.012,87.1,-0.002,-0.006,0.066,0
1,3143.31,1239.07,1,24.209,0.013,83.8,0.018,0.067,0.01,0,22.798,0.012,92.6,0.029,0.011,0.007,0
1,1334.27,1811.65,1,24.275,0.013,81.1,-0.001,0.031,0.0,0,22.765,0.012,93.6,-0.002,0.04,0.0,0
1,1401.12,624.81,1,24.294,0.013,82.6,-0.012,0.109,0.0,0,22.842,0.012,90.5,0.016,0.074,0.0,0
1,1198.74,1680.09,1,24.268,0.014,76.7,-0.003,0.009,0.0,0,22.843,0.013,86.1,0.007,0.06,0.0,0
1,1088.32,750.57,1,24.304,0.013,81.4,0.005,0.035,0.0,0,22.879,0.012,90.1,0.026,0.041,0.0,0
1,2240.92,932.65,1,24.319,0.014,80.1,0.039,0.082,0.0,0,22.877,0.012,90.0,0.024,0.045,0.0,0
1,1122.76,1628.58,1,24.273,0.013,81.0,0.001,0.072,0.0,0,22.857,0.012,88.5,-0.002,-0.018,0.0,0
1,933.86,1649.92,1,24.253,0.013,80.9,-0.002,0.105,0.0,0,22.86,0.012,88.7,-0.01,0.042,0.001,0
1,2493.68,77.63,1,24.397,0.014,79.6,-0.011,-0.015,0.0,0,22.892,0.012,91.4,-0.003,0.032,0.0,0
1,897.11,1338.32,1,24.296,0.014,79.9,0.023,0.02,0.001,0,22.88,0.012,87.9,0.036,0.012,0.0,0
1,2304.8,186.55,1,24.31,0.013,80.8,-0.004,0.055,0.0,0,22.955,0.012,87.2,0.005,0.045,0.0,0
1,1218.72,1569.56,1,24.28,0.014,80.4,0.005,0.031,0.001,0,22.896,0.012,87.4,0.009,0.009,0.001,0
1,1483.81,1719.36,1,24.322,0.014,78.5,-0.008,0.008,0.0,0,22.925,0.013,85.6,-0.009,0.026,0.0,0
1,2210.32,1788.35,1,24.274,0.014,79.3,0.006,0.074,0.0,0,22.944,0.013,84.4,-0.003,-0.013,0.0,0
1,953.91,1053.65,1,24.374,0.015,74.5,0.025,0.012,0.0,0,22.983,0.013,81.7,0.013,0.024,0.0,0
1,970.52,1225.81,1,24.393,0.014,75.8,0.027,0.077,0.0,0,22.983,0.013,84.1,0.01,0.055,0.0,0
1,2892.4,1806.22,1,24.336,0.014,76.7,0.001,0.135,0.0,0,22.989,0.013,83.1,0.01,0.071,0.0,0
1,1165.27,991.04,1,24.381,0.014,75.8,0.023,0.026,0.002,0,23.018,0.013,82.4,0.024,0.01,0.0,0
1,1294.85,1889.01,1,24.323,0.014,77.0,0.005,0.083,0.003,0,23.002,0.013,80.7,0.052,0.056,0.021,0
1,1891.0,1705.87,1,24.375,0.014,75.9,0.005,-0.007,0.001,0,22.99,0.013,83.1,0.002,0.034,0.0,0
1,923.87,1566.76,1,24.373,0.014,75.7,0.024,0.104,0.0,0,23.004,0.013,81.6,0.036,0.009,0.0,0
1,1321.97,1962.63,1,24.368,0.014,75.6,-0.003,0.03,0.001,0,22.985,0.013,82.0,0.029,0.045,0.001,0
1,1366.99,691.14,1,24.527,0.016,67.7,-0.042,0.075,0.244,0,23.035,0.014,79.3,-0.025,0.022,0.149,0
1,2017.81,1581.26,1,24.385,0.015,74.1,0.039,-0.011,0.009,0,23.007,0.013,81.1,0.009,0.037,0.007,0
1,1722.77,1940.05,1,24.381,0.015,73.2,-0.015,0.073,0.002,0,23.02,0.013,80.9,-0.019,0.042,0.004,0
1,516.78,1448.61,1,24.369,0.014,75.6,-0.005,0.036,0.006,0,23.079,0.014,79.2,0.025,0.049,0.001,0
1,1899.99,1569.87,1,24.431,0.015,73.5,-0.004,0.067,0.001,0,23.065,0.014,79.5,0.012,0.135,0.001,0
1,1571.83,754.27,1,24.438,0.015,74.8,0.009,0.06,0.0,0,23.098,0.014,80.0,-0.015,0.017,0.0,0
1,1668.11,1103.67,1,24.458,0.015,72.0,0.004,0.006,0.009,0,23.086,0.014,78.9,0.019,0.038,0.007,0
1,2171.22,1554.1,1,24.478,0.015,71.9,-0.007,0.083,0.005,0,23.055,0.014,80.1,-0.003,0.056,0.005,0
1,1497.15,290.62,1,24.523,0.015,72.8,-0.015,0.149,0.0,0,23.113,0.014,79.8,-0.01,0.062,0.001,0
