extension,type,x,y,mag_v,mag_i,snr_v,snr_i,sharp_v,sharp_i,round_v,round_i,err_v,err_i
0,1,964.7350000000001,1059.215,24.334,23.281,61.4,140.0,-0.055,-0.006,0.019,-0.019,0.018,0.008
0,5,1049.58,1060.03,23.855,22.88,1419.1,1572.9,-0.755,-0.755,0.099,0.057,0.001,0.001
0,1,918.105,992.3600000000001,24.349,23.295,65.7,139.9,-0.028,-0.034,0.028,0.023,0.017,0.008
0,5,1050.565,1065.5,23.987,22.66,1385.7,1969.1,-0.859,-0.859,0.167,0.078,0.001,0.001
0,1,717.06,965.135,24.339,23.313,83.2,139.7,-0.009,-0.013,0.033,0.011,0.013,0.008
0,5,1050.175,1062.0,23.189,22.441,2266.7,2219.0,-0.428,-0.428,0.039,0.02,0.0,0.0
0,5,1060.5,1061.56,24.985,23.931,605.4,670.6,-0.648,-0.648,0.113,0.014,0.002,0.002
0,1,864.16,877.815,23.742,23.858,91.9,100.4,-0.032,-0.035,0.019,0.025,0.012,0.011
0,1,922.275,1024.245,24.574,23.375,39.9,134.8,-0.123,-0.032,0.026,0.006,0.027,0.008
0,5,1036.065,1063.53,24.177,23.531,1237.1,1116.8,-0.81,-0.81,0.031,0.035,0.001,0.001
0,1,745.235,943.425,23.839,23.937,100.0,93.1,0.007,-0.011,0.032,0.0,0.011,0.012
0,1,728.52,916.545,24.396,23.432,86.5,122.0,-0.014,0.015,0.081,0.056,0.013,0.009
0,1,1046.6100000000001,849.3050000000001,24.342,23.466,71.0,131.9,-0.035,-0.027,0.019,0.019,0.015,0.008
0,5,1045.06,1069.02,23.979,23.105,1097.4,1148.7,-0.778,-0.778,0.031,0.057,0.001,0.001
0,5,1065.995,1066.98,23.785,22.401,1463.7,2061.4,-0.478,-0.478,0.075,0.062,0.001,0.001
0,5,1046.955,1068.115,23.281,22.29,2134.0,2456.7,-0.468,-0.468,0.149,0.075,0.001,0.0
0,5,1048.055,1070.045,23.404,22.137,1822.8,2673.5,-0.452,-0.452,0.062,0.069,0.001,0.0
0,1,924.08,943.085,24.48,23.452,82.7,128.2,-0.009,-0.022,0.037,0.024,0.013,0.008
0,5,1058.06,1059.03,26.222,24.183,221.4,581.3,-0.667,-0.667,0.019,0.066,0.005,0.002
0,1,837.98,878.06,24.47,23.477,88.9,132.7,-0.009,-0.016,0.035,0.007,0.012,0.008
0,1,1050.935,901.115,23.914,23.985,105.8,89.2,-0.014,-0.019,0.023,0.01,0.01,0.012
0,5,1009.865,753.92,24.592,22.614,1663.2,3531.7,-0.38,-0.38,0.066,0.06,0.001,0.0
0,5,1037.57,1062.415,24.59,23.917,871.6,774.2,-0.501,-0.501,0.05,0.062,0.001,0.001
0,5,1058.55,1061.45,25.907,24.51,265.7,398.4,-0.741,-0.741,0.104,0.05,0.004,0.003
0,5,1044.17,1070.0,24.575,23.819,602.1,596.9,-0.415,-0.415,0.122,0.094,0.002,0.002
0,1,1019.22,801.03,24.014,24.266,122.4,79.9,-0.023,-0.003,0.001,0.031,0.009,0.014
0,1,884.595,876.4449999999999,24.46,23.621,76.7,119.9,-0.007,-0.024,0.064,0.029,0.014,0.009
0,1,891.34,963.78,24.514,23.618,55.1,118.6,-0.029,-0.024,0.018,-0.006,0.02,0.009
0,1,1002.7950000000001,756.3199999999999,24.55,23.598,55.2,77.8,-0.016,-0.111,0.063,0.121,0.02,0.014
0,1,794.005,856.12,24.586,23.597,79.8,123.3,0.013,-0.0,0.048,0.017,0.014,0.009
0,5,1042.565,1057.51,24.716,23.608,776.0,951.9,-0.694,-0.694,0.104,0.084,0.001,0.001
0,1,900.915,750.4449999999999,24.528,23.68,85.7,118.9,0.013,0.014,-0.001,0.007,0.013,0.009
0,1,750.87,1054.315,24.73,23.651,46.6,110.6,-0.043,-0.016,0.066,0.036,0.023,0.01
0,1,770.895,737.56,24.595,23.67,80.4,119.1,0.006,-0.006,0.054,0.021,0.014,0.009
0,5,1042.06,1062.05,24.69,23.697,744.5,854.2,-0.735,-0.735,0.188,0.134,0.001,0.001
0,5,1043.005,1069.55,24.276,23.355,977.5,1065.7,-0.728,-0.728,0.219,0.19,0.001,0.001
0,1,769.165,854.79,24.692,23.683,52.2,115.9,-0.028,-0.018,0.027,-0.011,0.021,0.009
0,1,710.89,983.135,24.568,23.747,67.3,103.5,-0.011,0.015,0.013,0.058,0.016,0.01
0,1,947.73,960.4549999999999,24.238,24.326,96.1,66.0,-0.058,-0.038,0.055,0.053,0.011,0.016
0,1,991.77,819.285,24.591,23.742,54.9,112.1,-0.057,-0.02,-0.004,0.039,0.02,0.01
0,1,760.42,1016.1100000000001,24.692,23.699,70.2,107.1,-0.019,-0.001,-0.019,0.015,0.015,0.01
0,1,969.8199999999999,882.915,24.636,23.729,73.4,95.3,-0.021,-0.062,0.032,0.023,0.015,0.011
0,1,970.5350000000001,979.925,24.222,24.301,86.8,62.3,-0.04,-0.056,0.026,0.049,0.013,0.017
0,5,1039.055,1061.98,24.904,24.09,673.4,656.0,-0.662,-0.662,0.069,0.083,0.002,0.002
0,1,824.755,798.525,24.631,23.764,79.6,111.8,0.021,0.001,0.074,0.027,0.014,0.01
0,1,958.575,741.035,24.565,23.803,80.5,109.3,0.007,0.006,0.047,0.007,0.013,0.01
0,1,950.1800000000001,866.38,24.224,24.24,74.2,73.4,-0.055,-0.019,0.048,0.02,0.015,0.015
0,5,1043.07,1056.06,25.546,23.991,404.4,727.2,-0.754,-0.754,0.046,0.065,0.003,0.001
0,1,717.725,993.51,24.762,23.738,67.4,107.1,0.01,-0.014,0.083,0.017,0.016,0.01
0,5,1044.185,1063.06,25.355,23.984,431.5,657.8,-0.943,-0.943,0.216,0.128,0.003,0.002
0,1,756.655,752.875,24.796,23.754,67.5,112.3,0.015,0.008,0.06,0.027,0.016,0.01
0,1,907.395,767.595,24.696,23.817,79.0,106.3,0.005,0.004,0.005,0.029,0.014,0.01
0,1,852.7,940.135,24.714,23.824,75.4,100.7,0.006,-0.021,0.016,0.038,0.014,0.011
0,5,1033.555,1061.56,25.106,23.904,637.3,895.4,-0.791,-0.791,0.011,-0.0,0.002,0.001
0,1,823.41,1060.625,24.318,24.392,90.5,64.0,0.001,0.004,0.002,0.014,0.012,0.017
0,1,1052.4,963.125,24.812,23.815,55.4,95.1,-0.032,-0.018,0.042,-0.002,0.02,0.011
0,1,706.425,772.52,24.147,24.357,75.4,66.2,0.047,0.002,-0.035,0.017,0.014,0.016
0,1,761.11,881.2,24.745,23.858,54.7,92.3,0.041,0.021,0.036,0.055,0.02,0.012
0,5,1037.49,1066.04,24.622,23.702,899.3,989.6,-0.67,-0.67,0.075,0.091,0.001,0.001
0,1,973.0899999999999,983.065,24.309,24.422,87.6,66.0,-0.022,-0.025,0.085,0.06,0.012,0.016
0,1,1061.8,892.83,24.764,23.894,49.5,94.4,-0.002,-0.031,0.003,-0.001,0.022,0.012
0,1,720.42,1055.305,24.795,23.894,55.7,87.0,-0.039,-0.019,0.075,0.029,0.019,0.012
0,1,1021.47,945.9,24.932,23.847,43.6,98.4,-0.015,-0.022,0.07,0.013,0.025,0.011
0,1,750.175,970.96,24.775,23.924,67.7,95.8,0.021,-0.01,0.047,0.047,0.016,0.011
0,1,951.6949999999999,903.905,24.426,24.566,67.9,50.2,-0.035,-0.049,0.09,0.097,0.016,0.022
0,1,1048.6100000000001,980.0,24.495,24.574,78.8,44.7,-0.038,-0.039,0.021,0.031,0.014,0.024
0,1,844.925,1002.6700000000001,24.84,23.916,47.4,94.0,-0.043,-0.03,0.098,-0.008,0.023,0.012
0,1,770.715,1071.82,24.898,23.918,31.4,66.1,0.02,0.009,0.064,0.014,0.035,0.016
0,1,736.0,968.7,24.328,24.368,79.3,70.8,-0.044,-0.01,0.086,0.054,0.014,0.015
0,1,887.0699999999999,806.475,24.789,23.933,67.1,88.0,-0.008,0.008,0.041,0.017,0.016,0.012
0,1,953.0999999999999,980.185,24.842,23.924,52.1,89.5,-0.011,-0.001,0.057,0.019,0.021,0.012
0,5,1030.02,1065.055,25.267,24.323,574.0,656.3,-0.906,-0.906,0.024,0.03,0.002,0.002
0,1,996.905,1022.135,24.86,23.916,59.7,75.4,-0.044,-0.028,0.111,0.03,0.018,0.014
0,1,1039.88,937.755,24.902,23.932,49.8,91.6,-0.031,-0.012,0.02,0.031,0.022,0.012
