extension,x,y,type,mag_v,err_v,snr_v,sharp_v,round_v,crowd_v,flag_v,mag_i,err_i,snr_i,sharp_i,round_i,crowd_i,flag_i
1,2969.08,599.1,1,25.748,0.04,26.9,-0.045,0.22,0.014,0,26.35,0.122,8.9,-0.75,0.238,0.037,0
1,1713.48,1856.43,1,25.618,0.043,25.2,0.063,0.413,0.001,0,26.489,0.193,5.6,-0.847,0.986,0.063,0
1,3734.35,535.36,1,25.975,0.031,34.6,-0.089,0.037,0.001,0,23.297,0.016,68.8,-0.143,0.098,0.0,0
1,3594.13,1999.93,1,25.228,0.034,32.4,-0.027,0.214,0.002,0,23.757,0.033,33.4,0.064,0.413,0.003,0
1,2269.6,1817.23,1,27.695,0.115,9.5,-0.461,0.512,0.031,0,24.43,0.034,31.9,0.121,0.329,0.014,0
1,3029.82,1570.76,1,26.795,0.066,16.4,-0.201,0.39,0.058,0,24.883,0.045,24.3,0.253,0.21,0.026,0
1,1699.9,1123.18,1,26.925,0.082,13.2,0.364,0.398,0.0,0,25.901,0.091,11.9,0.214,-0.145,0.001,0
1,1678.32,95.85,1,27.67,0.092,11.8,-0.461,0.161,0.078,0,24.645,0.035,30.8,-0.068,0.234,0.122,0
1,3934.99,715.4,1,26.455,0.066,16.4,-0.028,0.218,0.208,0,26.496,0.143,7.6,-0.737,0.26,0.115,0
1,3462.99,1591.65,1,28.175,0.196,5.5,0.196,0.946,0.398,0,25.437,0.067,16.2,0.267,0.212,0.047,0
1,2940.99,1799.52,1,28.223,0.203,5.3,-0.069,-0.008,0.007,0,25.598,0.075,14.5,0.263,0.208,0.382,0
1,1902.83,1751.17,1,27.874,0.173,6.3,-1.069,-0.054,0.02,0,25.126,0.061,17.9,0.117,0.049,0.031,0
1,810.07,531.73,1,26.351,0.06,18.2,-0.079,0.119,0.005,0,26.808,0.173,6.3,-0.767,-0.039,0.01,0
1,478.0,1998.01,1,25.231,0.038,28.2,-0.107,0.032,0.164,0,24.318,0.047,23.1,-0.193,0.152,0.208,0
1,1238.25,143.09,1,25.87,0.043,25.0,-0.036,0.049,0.033,0,26.396,0.119,9.1,-0.247,0.198,0.113,0
1,4061.36,862.11,1,25.486,0.029,37.4,-0.105,0.123,0.095,0,24.375,0.031,34.8,-0.166,0.082,0.131,0
1,3623.63,354.45,1,25.988,0.045,23.9,-0.095,0.03,0.007,0,26.306,0.115,9.5,-0.334,0.094,0.017,0
1,3831.87,489.45,1,25.288,0.027,39.8,-0.101,0.083,0.148,0,24.518,0.034,32.0,-0.138,0.142,0.149,0
1,3064.99,1542.41,1,24.948,0.025,43.3,-0.058,-0.088,0.002,0,24.981,0.048,22.7,-0.033,0.42,0.011,0
1,2611.75,1630.12,1,28.143,0.187,5.8,-0.181,-0.077,0.083,0,25.688,0.077,14.1,0.144,0.163,7.995,0
1,3449.35,1211.44,1,27.314,0.081,13.4,-0.246,0.041,0.007,0,24.676,0.039,28.2,0.101,0.195,0.004,0
