extension,type,x,y,mag_v,mag_i,snr_v,snr_i,sharp_v,sharp_i,err_v,err_i
0,1,990.825,739.53,99.999,99.999,5.4,0.0,-0.282,0.0,0.202,0.0
0,1,811.67,757.14,25.776,25.053,7.9,3.7,-0.042,-0.039,0.137,0.296
0,1,981.4649999999999,774.355,99.999,99.999,6.0,0.0,-0.191,0.0,0.18,0.0
0,1,701.225,861.265,99.999,99.999,5.9,0.0,0.015,0.0,0.185,0.0
0,1,981.8199999999999,768.705,99.999,99.999,5.3,0.0,-0.144,0.0,0.205,0.0
0,1,999.4549999999999,773.96,99.999,99.999,5.5,0.0,-0.494,0.0,0.197,0.0
0,1,718.73,738.85,99.999,99.999,7.9,0.0,-0.144,0.0,0.138,0.0
0,1,987.51,740.265,99.999,99.999,5.4,0.0,-0.437,0.0,0.202,0.0
0,1,794.52,997.575,99.999,99.999,5.6,0.0,0.115,0.0,0.194,0.0
0,1,856.3,743.81,26.167,24.787,6.4,4.4,0.188,0.048,0.17,0.247
0,1,959.7149999999999,735.66,99.999,99.999,5.6,0.0,-0.166,0.0,0.193,0.0
0,1,994.48,757.3199999999999,99.999,99.999,4.0,0.0,-0.438,0.0,0.272,0.0
0,1,971.2850000000001,1033.535,99.999,99.999,4.9,0.0,0.19,0.0,0.222,0.0
0,1,1038.925,1037.79,26.629,24.493,3.7,4.3,-0.094,-0.156,0.294,0.254
0,1,976.9200000000001,771.37,99.999,99.999,4.2,0.0,-0.245,0.0,0.258,0.0
0,1,1004.095,747.87,99.999,99.999,5.1,0.0,-0.205,0.0,0.214,0.0
0,1,974.3800000000001,772.3050000000001,99.999,99.999,5.0,0.0,-0.412,0.0,0.218,0.0
0,1,963.94,746.6949999999999,99.999,99.999,0.0,4.6,0.0,-0.114,0.0,0.239
0,1,839.39,750.42,99.999,99.999,7.6,0.0,0.185,0.0,0.144,0.0
0,1,987.5899999999999,769.98,99.999,99.999,0.0,6.0,0.0,-0.239,0.0,0.181
0,1,956.825,731.66,99.999,99.999,6.8,0.0,-0.296,0.0,0.161,0.0
0,1,1010.8399999999999,726.335,26.764,24.237,3.9,4.0,-0.195,-0.322,0.277,0.272
0,1,997.25,1028.105,26.656,24.571,3.8,3.9,-0.103,0.206,0.285,0.276
