extension,type,x,y,mag_v,mag_i,snr_v,snr_i,sharp_v,sharp_i,round_v,round_i,err_v,err_i
0,1,850.48,1011.935,23.325,21.898,46.7,68.3,-0.022,-0.032,0.159,0.088,0.023,0.016
0,1,775.0,707.805,23.424,21.836,30.9,42.0,-0.054,-0.074,0.023,0.055,0.035,0.026
0,1,776.085,1035.7649999999999,23.396,21.839,47.6,62.2,0.01,-0.01,0.033,0.032,0.023,0.017
0,1,744.245,1004.99,23.262,21.97,45.0,63.2,-0.067,-0.018,0.012,0.031,0.024,0.017
0,1,1033.905,973.94,23.41,21.91,40.1,67.3,0.041,0.021,0.008,0.005,0.027,0.016
0,1,982.4200000000001,905.66,23.169,22.066,60.0,62.4,0.008,0.017,0.052,0.007,0.018,0.017
0,1,763.915,760.035,23.584,21.951,37.3,61.7,-0.029,-0.002,0.043,0.012,0.029,0.018
0,1,854.145,1010.0799999999999,23.348,21.951,30.3,38.1,0.038,-0.05,0.081,0.065,0.036,0.028
0,1,772.8050000000001,1069.82,23.506,21.965,40.2,59.3,0.004,0.009,0.048,0.045,0.027,0.018
0,1,892.505,737.425,23.506,21.916,50.4,67.6,-0.015,-0.024,0.069,0.049,0.022,0.016
0,1,873.1949999999999,975.8800000000001,23.012,22.361,42.0,41.1,-0.06,-0.074,0.149,0.175,0.026,0.026
0,1,1000.385,916.315,23.504,22.01,33.8,64.7,0.007,0.012,0.093,0.014,0.032,0.017
0,1,751.06,828.79,23.55,21.96,44.9,65.9,-0.007,0.002,0.015,0.019,0.024,0.016
0,1,899.105,783.325,23.529,21.991,44.6,66.4,-0.006,0.009,0.039,0.009,0.024,0.016
0,1,744.72,1043.73,23.493,21.992,44.9,62.9,-0.014,-0.051,0.096,0.015,0.024,0.017
0,1,981.895,1035.545,23.172,22.207,58.2,56.5,0.013,-0.005,0.071,0.05,0.019,0.019
0,1,886.955,880.53,23.483,22.067,44.1,62.6,-0.012,-0.011,0.041,0.015,0.025,0.017
0,1,705.82,1055.29,23.602,21.984,33.4,48.0,-0.098,-0.038,0.047,-0.011,0.033,0.023
0,1,846.955,801.37,23.482,21.974,47.5,59.4,-0.047,-0.084,0.084,0.039,0.023,0.018
0,1,932.7950000000001,769.5699999999999,23.507,22.001,50.0,65.9,-0.035,-0.012,0.058,0.017,0.022,0.016
0,1,908.15,809.99,22.959,22.562,60.7,47.3,0.024,0.011,0.042,0.004,0.018,0.023
0,1,806.5699999999999,936.315,23.6,22.019,44.2,64.2,-0.023,-0.011,0.125,0.068,0.025,0.017
0,1,845.535,824.52,23.588,22.071,44.7,63.3,0.012,-0.002,0.121,-0.003,0.024,0.017
0,1,1066.975,968.885,23.51,22.139,27.9,54.7,0.01,0.03,0.048,0.061,0.039,0.02
0,1,1056.045,802.175,23.425,22.149,47.8,58.2,-0.046,-0.018,0.038,0.059,0.023,0.019
0,1,869.55,860.405,22.955,23.1,69.8,33.8,0.019,0.068,-0.0,0.102,0.016,0.032
0,1,790.25,976.3899999999999,23.138,22.388,34.9,48.9,-0.067,-0.026,0.079,0.073,0.031,0.022
0,1,802.75,1047.94,23.484,22.143,32.7,46.5,-0.058,-0.026,0.082,0.059,0.033,0.023
0,1,995.0350000000001,813.365,23.58,22.119,47.4,61.4,0.026,-0.007,0.022,0.004,0.023,0.018
0,1,1029.885,758.635,23.33,22.322,39.8,48.6,-0.044,-0.057,0.123,0.113,0.027,0.022
0,1,867.075,821.35,23.659,22.227,34.0,56.3,-0.046,-0.047,0.13,0.042,0.032,0.019
0,1,848.475,702.97,23.832,22.169,20.5,29.8,-0.198,-0.202,0.071,-0.003,0.053,0.036
0,1,708.385,706.16,23.577,22.255,25.1,35.8,-0.167,-0.118,0.087,0.019,0.043,0.03
0,1,726.915,753.09,23.731,22.225,34.4,54.5,-0.037,-0.008,0.051,-0.001,0.032,0.02
0,1,818.59,844.355,23.446,22.326,32.0,38.0,-0.113,-0.146,0.185,0.135,0.034,0.029
0,1,795.75,901.385,23.649,22.188,42.9,56.5,0.036,-0.016,0.01,0.038,0.025,0.019
0,1,802.015,863.03,23.629,22.205,45.7,58.1,-0.014,0.013,0.097,0.016,0.024,0.019
0,1,882.6,849.1949999999999,23.606,22.263,41.7,55.8,-0.076,-0.065,0.168,0.123,0.026,0.019
0,1,800.75,745.6949999999999,23.297,22.535,28.0,45.8,-0.11,-0.025,0.011,0.043,0.039,0.024
0,1,869.405,904.92,23.649,22.32,36.7,54.0,0.039,0.031,0.046,0.031,0.03,0.02
0,1,904.4300000000001,799.165,23.668,22.285,39.8,50.7,-0.067,-0.072,0.164,0.066,0.027,0.021
0,1,860.58,916.48,23.854,22.213,39.3,57.7,0.03,0.015,0.058,0.031,0.028,0.019
0,1,867.49,753.235,23.698,22.361,24.6,38.4,-0.165,-0.155,0.096,0.105,0.044,0.028
0,1,886.3,984.9449999999999,23.192,22.882,47.4,38.0,-0.003,-0.04,0.121,0.146,0.023,0.029
0,1,744.61,862.06,23.649,22.308,43.4,52.2,-0.019,0.034,0.044,0.038,0.025,0.021
0,1,915.66,960.365,23.519,22.427,47.2,50.2,0.037,0.014,0.042,0.006,0.023,0.022
0,1,942.2149999999999,788.835,23.408,22.547,50.8,47.5,0.038,0.017,0.016,0.053,0.021,0.023
0,1,875.15,1022.0899999999999,23.427,22.527,47.8,46.1,0.046,0.026,0.021,0.098,0.023,0.024
0,1,894.36,1036.97,23.437,22.526,39.3,44.7,-0.066,-0.038,0.102,0.071,0.028,0.024
0,1,806.005,773.615,23.524,22.45,22.6,22.2,-0.111,-0.156,0.208,0.221,0.048,0.049
0,1,791.975,982.22,23.795,22.294,38.6,51.9,0.002,0.007,0.017,0.016,0.028,0.021
0,1,829.045,828.075,23.801,22.304,41.1,54.9,0.043,0.002,0.013,0.036,0.026,0.02
0,1,810.01,845.38,23.792,22.316,41.3,54.6,-0.015,0.011,0.043,0.042,0.026,0.02
0,1,855.145,1061.345,23.73,22.314,40.6,42.3,-0.014,-0.001,0.146,0.09,0.027,0.026
0,1,759.8050000000001,1042.255,23.791,22.307,37.0,47.8,-0.019,-0.016,0.034,0.038,0.029,0.023
0,1,710.07,986.155,23.649,22.487,26.8,43.3,-0.176,-0.088,0.108,0.081,0.041,0.025
0,1,894.38,1032.68,23.276,23.177,56.0,28.3,0.031,0.054,-0.036,0.085,0.019,0.038
0,1,1009.3800000000001,816.205,23.716,22.388,43.1,51.6,0.022,0.041,0.036,0.075,0.025,0.021
0,1,792.8199999999999,1011.3800000000001,23.266,23.078,40.4,31.1,-0.044,-0.023,0.126,0.207,0.027,0.035
0,1,782.84,789.3199999999999,23.82,22.435,31.9,50.6,-0.064,0.012,0.086,-0.022,0.034,0.021
0,1,702.825,994.7049999999999,23.856,22.47,26.3,41.5,-0.149,-0.056,0.182,0.105,0.041,0.026
0,1,819.625,1039.585,23.811,22.402,39.2,47.3,-0.005,0.003,0.037,-0.012,0.028,0.023
0,1,899.835,726.775,23.935,22.44,28.6,50.6,-0.019,-0.006,0.09,0.025,0.038,0.021
0,1,961.6300000000001,904.995,23.812,22.462,39.1,49.0,0.056,0.017,0.068,0.042,0.028,0.022
0,1,940.7049999999999,1070.26,23.597,22.607,44.4,41.1,0.021,0.022,0.177,0.111,0.024,0.026
0,1,763.215,851.035,23.884,22.422,37.0,49.3,-0.041,-0.004,0.037,0.053,0.029,0.022
0,1,861.365,941.845,23.716,22.541,33.1,46.9,0.005,0.01,0.076,0.021,0.033,0.023
0,1,818.565,750.395,23.952,22.439,34.3,49.5,-0.054,-0.01,0.065,-0.011,0.032,0.022
0,1,949.96,912.22,23.883,22.471,38.5,48.9,-0.017,0.025,0.091,0.061,0.028,0.022
0,1,1069.5,714.47,23.862,22.458,27.6,32.0,-0.054,-0.021,0.05,0.061,0.039,0.034
0,1,757.85,829.485,23.942,22.492,36.3,48.6,-0.004,-0.012,0.064,0.078,0.03,0.022
0,1,835.975,933.7149999999999,23.686,22.728,30.8,31.1,-0.077,-0.043,0.1,0.041,0.035,0.035
0,1,1008.6199999999999,745.79,23.668,22.73,39.2,38.9,-0.054,-0.049,0.127,0.073,0.028,0.028
0,1,828.625,872.875,23.988,22.504,36.7,48.6,0.019,-0.002,0.038,0.038,0.03,0.022
0,1,827.02,1058.585,23.909,22.576,31.3,41.3,-0.056,-0.011,0.148,0.057,0.035,0.026
0,1,964.53,820.4449999999999,23.73,22.652,11.9,15.1,-0.27,-0.313,0.098,0.123,0.091,0.072
0,1,1043.83,955.0899999999999,23.861,22.584,22.0,24.0,0.015,0.018,0.099,0.003,0.049,0.045
0,1,716.805,890.27,23.265,23.393,40.1,27.1,-0.068,-0.004,0.053,0.075,0.027,0.04
0,1,958.9100000000001,1063.885,23.884,22.637,30.9,42.6,-0.013,0.007,0.075,0.057,0.035,0.025
0,1,996.06,784.815,23.96,22.551,37.3,47.3,0.034,-0.017,0.097,0.008,0.029,0.023
0,1,1013.8800000000001,856.5699999999999,23.859,22.62,38.8,44.5,-0.001,0.034,0.061,0.071,0.028,0.024
0,1,793.51,704.53,24.036,22.617,22.1,31.3,-0.157,-0.102,0.128,0.015,0.049,0.035
0,1,887.35,753.78,24.023,22.61,27.9,44.6,-0.024,-0.037,0.161,0.114,0.039,0.024
0,1,1033.345,901.535,23.687,22.826,39.7,31.1,0.039,0.006,0.082,-0.037,0.027,0.035
0,1,941.15,1028.535,23.971,22.628,32.4,43.3,-0.009,0.041,0.158,0.034,0.034,0.025
0,1,865.6949999999999,1030.135,24.008,22.602,32.4,43.7,-0.001,0.054,0.04,0.039,0.033,0.025
0,1,841.81,926.675,99.999,99.999,0.0,32.7,0.0,-0.077,0.0,0.093,0.0,0.033
0,1,1051.905,994.3600000000001,23.802,22.74,32.4,34.5,-0.033,-0.034,0.142,0.138,0.033,0.031
0,1,701.91,838.645,24.055,22.628,25.8,38.7,-0.143,-0.108,0.031,0.009,0.042,0.028
0,1,863.915,724.975,23.87,22.672,38.2,39.2,-0.069,0.001,0.058,0.007,0.028,0.028
0,1,745.745,759.0699999999999,23.985,22.614,36.5,43.3,-0.082,-0.072,0.127,0.053,0.03,0.025
0,1,870.35,891.655,23.488,23.301,41.1,28.9,0.027,0.086,0.04,0.072,0.026,0.038
0,1,963.6600000000001,725.485,23.515,23.539,47.0,20.4,0.004,0.035,0.008,0.057,0.023,0.053
0,1,857.275,798.175,23.939,22.659,36.5,40.1,-0.015,-0.044,0.115,0.039,0.03,0.027
0,1,761.38,724.88,23.962,22.561,32.6,32.4,-0.059,-0.024,0.1,0.049,0.033,0.033
0,1,749.8050000000001,999.96,24.011,22.658,32.4,42.8,-0.019,0.002,0.041,0.041,0.033,0.025
0,1,791.22,1072.355,23.999,22.697,19.6,27.8,-0.112,-0.082,0.115,0.098,0.055,0.039
0,1,764.97,972.2449999999999,23.928,22.737,35.4,33.5,-0.064,-0.07,0.162,-0.056,0.031,0.032
0,1,832.64,1071.055,24.061,22.602,24.8,32.9,0.014,0.019,0.021,0.034,0.044,0.033
0,1,884.395,1012.5550000000001,23.979,22.675,35.3,42.4,-0.006,-0.011,0.048,0.03,0.031,0.026
0,1,1062.31,1041.045,23.965,22.7,32.0,36.6,-0.049,-0.058,0.184,0.145,0.034,0.03
0,1,994.815,1049.3600000000001,24.026,22.674,19.4,41.7,-0.019,0.031,0.155,0.003,0.056,0.026
0,1,888.29,884.15,24.047,22.671,33.1,43.2,0.039,-0.007,0.079,0.076,0.033,0.025
0,1,1031.675,790.55,24.014,22.693,35.3,40.8,0.01,-0.015,0.039,0.035,0.031,0.027
0,1,888.775,881.275,24.03,22.698,35.5,41.7,-0.003,0.021,0.173,0.046,0.031,0.026
0,1,776.3050000000001,775.1949999999999,23.688,23.079,44.6,33.0,-0.028,0.083,0.024,0.017,0.024,0.033
0,1,1054.68,816.47,23.814,22.893,34.7,37.2,-0.041,-0.02,0.068,0.032,0.031,0.029
0,1,1007.925,926.765,24.039,22.746,28.6,40.6,0.013,0.023,0.055,0.007,0.038,0.027
0,1,1020.3,732.675,24.006,22.755,33.8,41.3,-0.014,0.006,0.06,0.026,0.032,0.026
0,1,836.365,976.2,23.905,22.823,36.1,37.0,0.027,-0.007,-0.0,0.033,0.03,0.029
0,1,723.915,752.505,23.641,23.481,33.1,15.1,-0.071,-0.12,0.081,0.131,0.033,0.072
0,1,943.925,1030.685,24.043,22.738,33.5,40.2,-0.031,-0.017,0.067,0.088,0.032,0.027
0,1,957.385,967.53,24.118,22.739,29.2,41.1,-0.052,0.008,0.061,0.079,0.037,0.026
0,1,887.595,892.69,24.093,22.749,32.5,40.7,0.003,-0.002,0.009,0.086,0.033,0.027
0,1,949.48,759.675,24.126,22.748,31.2,41.6,-0.0,0.011,0.066,-0.039,0.035,0.026
0,1,777.16,778.295,24.086,22.743,34.4,41.4,-0.033,0.01,0.028,-0.007,0.032,0.026
0,1,984.355,854.275,24.043,22.788,28.9,40.2,-0.032,0.005,0.071,0.038,0.038,0.027
0,1,879.795,785.1800000000001,24.13,22.769,32.8,41.0,0.02,0.025,0.077,-0.006,0.033,0.026
