extension,type,x,y,mag_v,mag_i,snr_v,snr_i,sharp_v,sharp_i,round_v,round_i,err_v,err_i
0,1,914.1800000000001,921.045,24.469,23.411,56.6,55.5,-0.024,-0.013,0.11,0.036,0.019,0.02
0,1,794.6800000000001,980.23,24.501,23.397,52.0,57.7,-0.017,-0.001,0.008,0.004,0.021,0.019
0,1,714.25,947.735,24.455,23.397,55.0,44.5,0.043,0.003,0.089,0.1,0.02,0.024
0,1,1067.405,896.97,24.532,23.434,45.5,51.7,-0.013,0.001,0.111,0.026,0.024,0.021
0,1,879.48,1046.685,99.999,99.999,0.0,53.5,0.0,-0.009,0.0,-0.036,0.0,0.02
0,1,756.61,722.8,24.373,23.643,50.1,45.6,0.039,0.019,0.014,0.072,0.022,0.024
0,1,708.84,890.665,24.565,23.478,49.2,54.4,0.001,0.005,0.051,0.018,0.022,0.02
0,1,966.8399999999999,753.535,24.571,23.479,49.9,44.1,0.006,0.022,0.01,0.077,0.022,0.025
0,1,818.095,952.9200000000001,24.628,23.519,33.3,53.4,-0.033,0.007,0.197,0.04,0.033,0.02
0,1,817.02,861.845,24.503,23.58,27.8,41.2,-0.08,-0.056,0.338,0.175,0.039,0.026
0,1,900.81,952.1800000000001,24.566,23.516,53.0,53.0,0.015,-0.019,0.007,0.066,0.02,0.02
0,1,732.81,1067.325,24.58,23.528,48.0,52.0,-0.039,-0.012,0.03,0.041,0.023,0.021
0,1,811.095,847.0699999999999,24.611,23.507,44.8,49.8,-0.013,0.024,0.089,0.064,0.024,0.022
0,1,1020.165,882.975,24.606,23.562,41.3,42.4,0.025,-0.006,0.032,0.026,0.026,0.026
0,1,900.095,758.995,24.568,23.571,53.4,49.1,0.02,0.009,0.063,0.002,0.02,0.022
0,1,934.525,844.235,24.597,23.562,52.6,52.9,0.012,-0.023,0.092,0.086,0.021,0.021
0,1,778.78,848.6949999999999,24.551,23.625,37.4,34.6,-0.046,-0.113,0.184,0.077,0.029,0.031
0,1,1026.79,1020.2049999999999,24.618,23.565,43.7,34.2,0.007,0.015,0.038,0.164,0.025,0.032
0,1,731.24,897.39,24.606,23.625,51.3,50.0,0.028,0.018,0.048,0.053,0.021,0.022
0,1,733.815,820.9449999999999,24.722,23.522,47.4,31.7,0.026,0.017,-0.024,0.127,0.023,0.034
0,1,1052.16,1065.3600000000001,24.649,23.682,39.9,46.2,-0.027,-0.029,0.091,0.067,0.027,0.024
0,1,845.665,847.605,24.647,23.602,48.9,51.1,-0.011,-0.025,0.106,-0.01,0.022,0.021
0,1,834.015,1029.355,24.681,23.598,38.9,50.1,0.074,0.025,0.075,0.015,0.028,0.022
0,1,763.11,890.965,24.658,23.597,47.7,50.4,0.072,0.057,0.076,0.046,0.023,0.022
0,1,743.6949999999999,991.05,24.659,23.632,49.7,49.3,0.033,-0.043,0.115,-0.029,0.022,0.022
0,1,847.425,895.705,24.662,23.675,50.8,49.1,-0.002,0.007,0.066,-0.027,0.021,0.022
0,1,863.65,864.215,24.656,23.73,49.4,38.8,0.034,0.021,0.033,0.045,0.022,0.028
0,1,976.325,770.5699999999999,24.684,23.67,49.7,49.1,-0.005,-0.012,0.054,0.04,0.022,0.022
0,1,804.15,946.0350000000001,24.707,23.739,46.6,32.7,0.008,0.01,0.031,-0.002,0.023,0.033
0,1,867.6,783.76,24.76,23.729,46.7,38.7,0.011,0.024,0.051,0.007,0.023,0.028
0,1,846.86,1041.65,24.707,23.783,45.2,45.3,0.038,-0.02,0.053,0.056,0.024,0.024
0,1,882.14,814.635,24.768,23.728,47.3,46.1,-0.006,0.012,0.106,0.01,0.023,0.024
0,1,702.635,893.25,24.792,23.724,40.3,41.9,0.011,-0.007,0.095,-0.031,0.027,0.026
0,1,980.135,1037.3600000000001,24.8,23.733,44.1,43.7,-0.068,-0.008,0.009,0.114,0.025,0.025
0,1,970.6800000000001,760.405,24.797,23.737,46.5,47.0,-0.021,-0.01,0.078,-0.033,0.023,0.023
0,1,773.4449999999999,908.045,24.815,23.748,45.5,45.9,0.023,-0.0,0.036,0.119,0.024,0.024
0,1,923.56,834.025,24.867,23.819,44.8,43.9,-0.017,-0.018,0.008,0.039,0.024,0.025
0,1,709.315,977.9000000000001,24.864,23.862,35.2,42.4,-0.052,-0.027,0.073,-0.011,0.031,0.026
0,1,864.34,968.105,24.834,23.917,40.0,41.9,0.007,0.006,0.04,-0.005,0.027,0.026
0,1,774.475,889.22,24.882,23.865,43.5,41.3,0.067,0.047,0.056,0.036,0.025,0.026
0,1,896.755,790.755,24.902,23.884,38.6,40.3,-0.019,-0.054,0.117,0.076,0.028,0.027
0,1,772.545,766.295,24.903,23.913,36.3,40.8,0.059,0.048,0.09,0.033,0.03,0.027
0,1,849.86,746.895,24.928,23.875,41.9,42.2,-0.015,-0.074,0.06,0.025,0.026,0.026
0,1,1004.335,868.655,24.897,23.933,39.3,40.9,0.008,0.006,0.117,0.041,0.028,0.027
0,1,919.625,797.66,24.928,23.901,42.7,40.9,0.004,0.012,0.051,0.057,0.025,0.027
0,1,876.885,783.665,24.972,23.952,38.3,41.0,0.013,0.028,0.118,0.063,0.028,0.027
0,1,967.26,1065.48,24.859,24.064,34.9,35.8,-0.012,-0.012,0.033,0.009,0.031,0.03
0,1,796.355,822.87,25.045,24.09,32.8,35.1,-0.037,-0.047,0.054,0.143,0.033,0.031
0,1,800.985,882.03,25.004,23.978,26.2,27.6,-0.081,-0.109,0.105,0.058,0.041,0.039
0,1,925.59,885.215,24.939,24.08,42.4,37.2,0.008,0.023,0.105,0.014,0.026,0.029
0,1,1064.12,971.5899999999999,25.037,23.984,37.9,39.4,-0.002,-0.014,0.106,0.058,0.029,0.028
0,1,704.385,863.785,24.977,24.052,37.5,35.7,-0.021,-0.026,0.14,0.049,0.029,0.03
0,1,763.11,708.845,25.038,23.979,36.1,35.7,0.042,-0.038,0.022,0.075,0.03,0.03
0,1,782.125,757.355,24.994,24.024,40.5,38.3,0.038,0.024,0.117,0.095,0.027,0.028
0,1,895.045,961.3199999999999,25.041,24.019,36.4,39.2,0.018,-0.009,0.116,0.096,0.03,0.028
0,1,979.7350000000001,781.245,24.976,24.091,41.6,35.5,0.005,0.003,0.028,0.061,0.026,0.031
0,1,1022.835,785.225,25.027,24.027,39.1,35.3,-0.03,0.025,0.048,0.035,0.028,0.031
0,1,858.005,992.4649999999999,25.102,24.002,36.5,39.3,0.002,0.009,0.027,0.079,0.03,0.028
0,1,986.1199999999999,873.02,25.004,24.103,40.8,37.1,-0.015,0.013,0.016,0.028,0.027,0.029
0,1,876.855,1014.9949999999999,25.083,24.072,32.6,33.8,-0.073,-0.037,0.043,0.065,0.033,0.032
0,1,1024.76,961.1800000000001,25.146,24.035,36.1,38.1,-0.02,0.006,0.041,0.067,0.03,0.028
0,1,847.915,753.88,25.004,24.19,33.3,32.4,-0.002,-0.033,0.035,0.054,0.033,0.034
0,1,721.08,733.405,25.091,24.09,36.1,36.3,0.014,0.043,0.112,0.023,0.03,0.03
0,1,1056.41,979.095,25.145,24.055,35.6,36.0,-0.035,-0.022,0.151,0.057,0.03,0.03
0,1,726.415,876.385,25.068,24.136,32.2,35.3,-0.034,0.013,0.026,0.032,0.034,0.031
0,1,754.46,929.58,25.206,24.062,28.6,37.7,0.003,0.022,-0.014,0.037,0.038,0.029
0,1,954.1700000000001,843.175,25.078,24.153,39.0,34.1,-0.016,-0.017,0.097,0.069,0.028,0.032
0,1,840.12,945.9100000000001,25.16,24.145,35.7,34.8,-0.005,-0.007,0.018,0.021,0.03,0.031
0,1,975.5350000000001,1023.7550000000001,25.204,24.134,26.9,35.6,-0.014,-0.012,0.051,0.049,0.04,0.031
0,1,751.75,969.5350000000001,25.118,24.201,36.9,31.9,0.025,0.032,0.041,-0.005,0.029,0.034
0,1,893.98,864.845,25.176,24.143,34.6,33.7,0.027,0.021,0.051,0.028,0.031,0.032
0,1,840.475,798.085,25.143,24.175,35.0,34.4,0.007,0.047,0.083,0.086,0.031,0.032
0,1,1015.4300000000001,734.52,25.19,24.145,34.8,35.6,0.035,0.001,0.002,0.073,0.031,0.03
0,1,703.3,981.02,25.109,24.227,29.6,31.1,-0.053,-0.063,0.009,0.161,0.037,0.035
0,1,1053.65,943.235,24.882,25.046,42.3,19.5,0.006,-0.003,0.001,0.183,0.026,0.056
0,1,805.63,860.78,25.163,24.175,35.3,35.3,0.01,0.048,0.105,0.037,0.031,0.031
0,1,934.29,887.185,25.202,24.128,35.7,35.4,0.028,-0.008,0.05,0.09,0.03,0.031
0,1,1047.495,1006.6500000000001,25.161,24.188,34.7,30.4,0.036,0.051,0.029,0.11,0.031,0.036
0,1,778.15,770.98,25.174,24.178,36.1,33.5,0.046,0.015,0.13,0.047,0.03,0.032
0,1,987.355,731.6,25.141,24.244,33.1,33.7,0.003,-0.01,0.05,0.137,0.033,0.032
0,1,832.6949999999999,728.38,25.13,24.294,37.1,26.4,0.056,0.047,0.131,0.074,0.029,0.041
0,1,998.3899999999999,886.295,25.242,24.151,34.3,34.3,-0.006,-0.045,0.044,0.147,0.032,0.032
0,1,1028.7,706.5,25.121,24.301,30.3,20.0,0.003,-0.11,0.015,0.063,0.036,0.054
0,1,1043.0149999999999,807.17,25.092,24.344,35.3,31.0,-0.04,0.02,0.083,-0.03,0.031,0.035
0,1,866.675,889.405,25.25,24.178,33.5,35.3,0.042,0.043,0.11,-0.032,0.032,0.031
0,1,926.02,880.265,25.127,24.335,35.5,27.4,-0.045,-0.069,0.053,0.1,0.031,0.04
0,1,779.56,1052.805,25.18,24.254,28.2,30.7,-0.003,0.047,0.118,0.081,0.038,0.035
0,1,1021.8299999999999,981.9000000000001,25.25,24.205,29.3,32.9,0.032,0.051,0.127,-0.021,0.037,0.033
0,1,964.7,993.615,25.325,24.22,24.9,27.6,-0.025,0.051,0.218,0.033,0.044,0.039
0,1,907.155,1036.2,25.215,24.253,31.9,31.3,0.003,0.034,0.094,0.168,0.034,0.035
0,1,840.96,793.895,25.255,24.24,33.5,33.0,0.008,0.012,0.086,0.058,0.032,0.033
0,1,798.705,969.365,25.368,24.209,19.4,26.6,-0.117,-0.059,0.279,0.252,0.056,0.041
0,1,877.08,953.175,25.191,24.331,35.0,30.0,0.057,0.027,0.057,0.137,0.031,0.036
0,1,742.3,841.31,25.306,24.225,26.7,31.3,0.052,0.034,0.041,0.003,0.041,0.035
0,1,944.5799999999999,742.87,24.983,24.964,39.1,20.4,-0.003,0.078,0.021,0.063,0.028,0.053
0,1,918.495,897.135,25.211,24.31,34.9,31.2,0.007,0.013,0.139,0.01,0.031,0.035
0,1,830.66,887.49,25.32,24.216,31.1,32.1,0.032,0.03,0.09,0.075,0.035,0.034
0,1,921.6,753.4300000000001,25.196,24.351,30.7,26.4,0.027,-0.032,0.091,0.063,0.035,0.041
0,1,950.1199999999999,1070.58,25.207,24.356,34.6,30.0,0.028,0.035,0.135,0.071,0.031,0.036
0,1,841.9449999999999,761.735,25.179,24.415,36.6,30.1,0.015,-0.009,0.07,0.122,0.03,0.036
0,1,1008.31,920.515,25.186,24.383,29.4,30.6,0.013,-0.049,0.083,-0.078,0.037,0.035
0,1,790.58,806.33,25.294,24.281,33.7,32.8,0.006,0.023,0.106,0.115,0.032,0.033
