extension,x,y,mag_v,mag_i,type,snr_v,snr_i,flag_v,flag_i,crowd_v,crowd_i,sharp_v,sharp_i,err_v,err_i
1,316.22,964.05,23.121,21.874,1,124.7,127.4,0,0,0.012,0.021,0.033,0.034,0.009,0.009
1,3389.73,221.6,23.146,21.868,1,143.8,147.2,0,0,0.0,0.0,-0.0069999999999999,-0.004,0.008,0.0069999999999999
1,1846.93,936.28,23.208,21.903,1,137.7,139.9,0,0,0.0,0.001,0.015,0.008,0.008,0.008
1,2546.38,1622.97,24.491,21.526,1,79.9,174.4,0,0,0.005,0.017,0.004,0.002,0.0139999999999999,0.006
1,3224.3,1495.83,23.213,21.924,1,137.3,137.7,0,0,0.001,0.001,0.003,0.006,0.008,0.008
1,4064.25,1553.52,23.732,21.705,1,112.9,159.5,0,0,0.003,0.003,-0.021,0.008,0.01,0.0069999999999999
1,1044.26,469.79,23.723000000000003,21.728,1,114.0,158.1,0,0,0.005,0.0069999999999999,-0.001,0.022,0.01,0.0069999999999999
1,3073.14,653.89,23.311,22.01,1,118.9,136.4,0,0,0.0,0.0,0.009,0.016,0.009,0.008
1,2948.81,478.82,24.542,21.723000000000003,1,77.3,159.0,0,0,0.0,0.001,0.02,-0.002,0.0139999999999999,0.0069999999999999
1,1258.79,1623.12,23.404,22.094,1,123.0,127.3,0,0,0.012,0.006,0.008,0.011,0.009,0.009
1,1840.29,33.73,23.414,22.145,1,120.7,122.5,0,0,0.009,0.013,0.0,0.01,0.009,0.009
1,4089.45,495.09,23.439,22.131,1,122.1,127.1,0,0,0.0069999999999999,0.0069999999999999,-0.012,0.019,0.009,0.009
1,1225.9,176.41,24.595,21.813,1,74.8,149.7,0,0,0.017,0.022,0.022,0.013,0.015,0.0069999999999999
1,3632.84,988.12,23.505,22.261,1,115.0,115.8,0,0,0.0,0.0,0.0139999999999999,0.013,0.009,0.009
1,1694.56,1018.55,23.498,22.31,1,117.0,114.7,0,0,0.0069999999999999,0.011,-0.008,0.017,0.009,0.009
1,2748.7,141.09,23.605,22.31,1,110.6,116.1,0,0,0.002,0.0,-0.006,0.023,0.01,0.009
1,998.19,1037.01,23.598000000000003,22.352,1,111.1,112.9,0,0,0.0,0.0,0.017,-0.013,0.01,0.01
1,4043.72,1058.63,25.452,21.95,1,45.5,139.6,0,0,0.0,0.0,-0.008,-0.01,0.024,0.008
1,2605.2,1011.95,23.611,22.367,1,110.3,111.6,0,0,0.0,0.0,0.015,-0.005,0.01,0.01
1,2209.14,142.61,23.071,22.827,1,127.8,86.5,0,0,0.0,0.001,-0.002,-0.01,0.008,0.013
1,3924.51,997.09,23.63,22.425,1,104.1,98.2,0,0,0.013,0.0279999999999999,-0.001,0.02,0.01,0.011
1,875.4,403.93,23.73,22.469,1,104.1,105.6,0,0,0.013,0.016,0.0,0.018,0.01,0.01
1,3222.37,387.71,25.02,22.137,1,56.7,123.5,0,0,0.001,0.0069999999999999,0.006,-0.006,0.019,0.009
1,2353.21,1015.54,23.732,22.545,1,102.6,101.7,0,0,0.004,0.01,-0.008,0.0,0.011,0.011
1,1007.94,1720.31,23.822,22.605,1,96.7,96.4,0,0,0.02,0.013,-0.012,0.009,0.011,0.011
1,724.16,1244.42,24.375,22.362,1,78.2,110.2,0,0,0.0,0.001,0.015,0.008,0.0139999999999999,0.01
1,775.73,751.51,23.853,22.634,1,97.3,97.0,0,0,0.0,0.001,-0.016,0.005,0.011,0.011
1,3913.07,817.85,23.865,22.648000000000003,1,93.0,92.9,0,0,0.005,0.002,0.019,0.011,0.012,0.012
1,3835.19,454.74,23.857,22.659,1,91.5,95.4,0,0,0.0,0.001,-0.0,0.0069999999999999,0.012,0.011
1,4087.01,90.66,23.898000000000003,22.656,1,93.0,94.1,0,0,0.008,0.012,0.012,0.012,0.012,0.012
1,3799.99,1834.32,23.889,22.703000000000003,1,93.3,91.5,0,0,0.012,0.017,0.018,0.02,0.012,0.012
1,2604.84,1593.64,23.864,22.765,1,94.2,86.4,0,0,0.01,0.05,0.005,0.026,0.012,0.013
1,3710.32,1268.98,23.859,22.761,1,93.1,88.9,0,0,0.0,0.0,0.024,0.016,0.012,0.012
1,830.01,926.86,23.972,22.704,1,83.7,85.1,0,0,0.0,0.0,0.0,-0.015,0.013,0.013
1,226.4,1755.97,23.888,22.785,1,90.8,86.2,0,0,0.013,0.013,0.001,0.004,0.012,0.013
1,3095.09,262.25,23.964,22.75,1,90.0,90.1,0,0,0.01,0.005,0.017,0.032,0.012,0.012
1,1580.11,272.34,24.907,22.43,1,59.5,105.5,0,0,0.002,0.003,-0.002,0.015,0.018,0.01
1,1712.17,1991.69,24.041,22.797,1,85.7,86.6,0,0,0.022,0.023,-0.031,-0.01,0.013,0.013
1,2353.83,1596.83,24.003,22.832,1,87.7,85.5,0,0,0.0,0.0,0.035,-0.019,0.012,0.013
1,3794.54,189.43,24.039,22.838,1,86.7,85.9,0,0,0.0069999999999999,0.012,-0.021,0.021,0.013,0.013
1,2789.49,1511.76,24.018,22.866,1,86.6,83.6,0,0,0.013,0.016,-0.008,0.0139999999999999,0.013,0.013
1,2310.67,1815.94,24.021,22.878,1,86.2,83.7,0,0,0.002,0.004,0.018,-0.012,0.013,0.013
1,1968.41,901.0,24.092,22.903,1,83.7,82.5,0,0,0.006,0.022,0.0069999999999999,0.018,0.013,0.013
1,946.19,1289.89,24.124,23.018,1,80.9,76.8,0,0,0.0,0.0,-0.013,0.004,0.013,0.0139999999999999
1,3100.29,809.59,24.16,23.048,1,78.2,75.4,0,0,0.003,0.011,-0.005,0.018,0.0139999999999999,0.0139999999999999
1,945.18,863.76,25.04,22.724,1,54.4,91.6,0,0,0.0,0.001,0.012,0.002,0.02,0.012
1,3723.34,1441.0,24.224,23.07,1,74.5,74.7,0,0,0.0,0.0,0.03,-0.001,0.015,0.015
1,1134.89,1185.26,25.952,22.686,1,32.1,91.7,0,0,0.002,0.002,0.049,0.033,0.034,0.012
1,2826.17,1070.15,24.196,23.089,1,77.4,74.1,0,0,0.003,0.008,0.025,0.002,0.0139999999999999,0.015
1,1220.5,611.32,24.188,23.103,1,78.5,72.9,0,0,0.008,0.009,-0.0069999999999999,0.017,0.0139999999999999,0.015
1,3198.26,920.05,24.205,23.12,1,76.0,72.3,0,0,0.001,0.002,0.023,0.02,0.0139999999999999,0.015
1,1691.27,1973.71,24.716,22.895,1,58.2,74.1,0,0,0.006,0.02,-0.035,-0.031,0.019,0.015
1,1460.4,165.61,24.178,23.194000000000003,1,77.8,69.9,0,0,0.013,0.017,-0.023,0.001,0.0139999999999999,0.016
